id,date,incident_type,severity,status,description,reported_by,created_at
19,2025-11-13,Insider Threat,Critical,Resolved,Antivirus signature match found.,asmith,2025-11-13 18:16:21
20,2025-03-21,Unauthorized Access,Low,Open,Suspicious login attempt detected.,system_monitor,2025-03-21 21:50:59
21,2025-01-03,Phishing Attempt,Medium,Open,Database latency exceeded threshold.,klee,2025-01-03 16:09:42
22,2025-07-09,Malware Infection,Low,Resolved,User reported strange email attachment.,jdoe,2025-07-09 19:40:19
23,2025-08-31,Malware Infection,Low,Mitigated,Database latency exceeded threshold.,asmith,2025-08-31 12:45:11
24,2025-03-17,Insider Threat,High,Open,Unusual outbound traffic pattern.,asmith,2025-03-17 21:26:56
25,2025-12-10,SQL Injection,Medium,Resolved,User reported strange email attachment.,security_team,2025-12-10 10:54:32
26,2025-11-01,Ransomware,Low,Investigating,Database latency exceeded threshold.,klee,2025-11-01 22:10:41
27,2025-03-12,Man-in-the-Middle,Low,Closed,Firewall blocked multiple port scans.,admin,2025-03-12 22:13:05
28,2025-01-21,Data Breach,Critical,Mitigated,Firewall blocked multiple port scans.,security_team,2025-01-21 09:00:36
29,2025-11-02,Ransomware,Medium,Closed,Antivirus signature match found.,admin,2025-11-02 11:01:03
30,2025-01-06,Insider Threat,Critical,Investigating,Firewall blocked multiple port scans.,security_team,2025-01-06 15:52:41
31,2024-12-14,Unauthorized Access,High,Investigating,Suspicious login attempt detected.,system_monitor,2024-12-14 22:53:50
32,2025-10-24,Ransomware,Critical,False Positive,Antivirus signature match found.,system_monitor,2025-10-25 00:08:12
33,2025-07-01,DDoS Attack,Low,Investigating,Firewall blocked multiple port scans.,system_monitor,2025-07-01 11:52:53
34,2025-12-09,Insider Threat,Medium,Mitigated,Unusual outbound traffic pattern.,klee,2025-12-09 09:10:21
35,2025-06-17,Insider Threat,Low,Mitigated,Antivirus signature match found.,klee,2025-06-17 02:56:40
36,2025-03-17,Malware Infection,Low,Investigating,Antivirus signature match found.,klee,2025-03-17 10:51:15
37,2025-04-10,Malware Infection,Low,Open,Database latency exceeded threshold.,system_monitor,2025-04-10 05:10:59
38,2025-10-30,Malware Infection,High,Closed,Unusual outbound traffic pattern.,asmith,2025-10-30 22:43:13
39,2024-12-13,Insider Threat,High,False Positive,Antivirus signature match found.,security_team,2024-12-13 09:34:36
40,2025-10-15,Ransomware,Medium,Closed,Suspicious login attempt detected.,jdoe,2025-10-15 16:02:11
41,2025-08-01,Phishing Attempt,High,Closed,Suspicious login attempt detected.,security_team,2025-08-01 22:25:43
42,2025-05-26,Unauthorized Access,High,Mitigated,Suspicious login attempt detected.,system_monitor,2025-05-26 12:10:49
43,2025-08-30,Data Breach,Critical,Open,Antivirus signature match found.,klee,2025-08-30 20:15:47
44,2025-01-19,Data Breach,High,Mitigated,Firewall blocked multiple port scans.,asmith,2025-01-19 03:51:27
45,2025-11-14,SQL Injection,Low,Investigating,Suspicious login attempt detected.,security_team,2025-11-14 03:43:50
46,2025-04-14,Man-in-the-Middle,Low,Closed,Unusual outbound traffic pattern.,system_monitor,2025-04-14 21:53:37
47,2025-01-07,DDoS Attack,Medium,False Positive,User reported strange email attachment.,admin,2025-01-07 06:41:58
48,2025-09-06,Phishing Attempt,Critical,Closed,Suspicious login attempt detected.,klee,2025-09-06 18:35:16
49,2025-04-02,Ransomware,Medium,Resolved,Firewall blocked multiple port scans.,security_team,2025-04-02 15:57:02
50,2025-03-29,Phishing Attempt,Low,False Positive,Suspicious login attempt detected.,security_team,2025-03-29 19:51:29
51,2025-05-10,Malware Infection,Low,Investigating,Unusual outbound traffic pattern.,security_team,2025-05-10 22:00:33
52,2025-01-29,Malware Infection,High,False Positive,Firewall blocked multiple port scans.,jdoe,2025-01-29 06:14:56
53,2025-06-04,Phishing Attempt,Medium,Resolved,User reported strange email attachment.,system_monitor,2025-06-04 19:03:00
54,2025-09-02,Phishing Attempt,Critical,Investigating,Firewall blocked multiple port scans.,jdoe,2025-09-02 18:16:04
55,2025-05-31,DDoS Attack,Medium,Open,Firewall blocked multiple port scans.,klee,2025-05-31 09:03:43
56,2025-09-19,Insider Threat,Low,Mitigated,Suspicious login attempt detected.,asmith,2025-09-19 09:13:40
57,2025-07-10,SQL Injection,High,Investigating,Database latency exceeded threshold.,system_monitor,2025-07-10 05:40:28
58,2025-08-09,SQL Injection,Critical,Open,User reported strange email attachment.,system_monitor,2025-08-09 23:10:16
59,2025-08-21,Man-in-the-Middle,Low,Mitigated,Antivirus signature match found.,security_team,2025-08-21 13:02:41
60,2025-07-14,Malware Infection,Critical,Open,Firewall blocked multiple port scans.,security_team,2025-07-14 06:36:17
61,2025-08-07,Malware Infection,Low,Resolved,Firewall blocked multiple port scans.,asmith,2025-08-07 15:03:16
62,2025-11-28,Man-in-the-Middle,Medium,Open,Unusual outbound traffic pattern.,asmith,2025-11-28 03:01:50
63,2025-12-03,SQL Injection,Critical,Investigating,User reported strange email attachment.,admin,2025-12-03 01:17:53
64,2024-12-15,Insider Threat,Low,Investigating,Unusual outbound traffic pattern.,admin,2024-12-15 20:05:19
65,2025-06-24,Phishing Attempt,Medium,Investigating,User reported strange email attachment.,klee,2025-06-24 05:29:40
66,2025-06-30,Phishing Attempt,Medium,Resolved,Suspicious login attempt detected.,klee,2025-06-30 13:21:42
67,2025-08-21,Data Breach,Critical,Mitigated,Antivirus signature match found.,system_monitor,2025-08-21 06:15:24
68,2025-09-25,Insider Threat,High,Resolved,Antivirus signature match found.,asmith,2025-09-25 13:31:37
69,2025-11-23,Malware Infection,Medium,Mitigated,Database latency exceeded threshold.,asmith,2025-11-23 06:38:33
70,2025-01-30,Data Breach,High,False Positive,Unusual outbound traffic pattern.,admin,2025-01-30 17:10:17
71,2024-12-31,Man-in-the-Middle,Low,Resolved,Database latency exceeded threshold.,jdoe,2024-12-31 10:24:39
72,2024-12-25,Man-in-the-Middle,Critical,Resolved,Antivirus signature match found.,asmith,2024-12-25 01:12:37
73,2025-10-10,Ransomware,Low,Investigating,Firewall blocked multiple port scans.,klee,2025-10-10 09:47:28
74,2025-07-24,Man-in-the-Middle,High,Resolved,Database latency exceeded threshold.,klee,2025-07-24 16:17:52
75,2025-05-16,DDoS Attack,Low,Investigating,Database latency exceeded threshold.,admin,2025-05-16 13:07:22
76,2025-08-15,Man-in-the-Middle,High,False Positive,Firewall blocked multiple port scans.,security_team,2025-08-15 02:09:51
77,2025-03-06,Data Breach,High,Open,Antivirus signature match found.,admin,2025-03-06 08:00:46
78,2025-11-14,Man-in-the-Middle,High,Resolved,Antivirus signature match found.,asmith,2025-11-14 16:32:55
79,2025-09-13,Unauthorized Access,Medium,Resolved,User reported strange email attachment.,admin,2025-09-13 14:48:19
80,2025-10-31,SQL Injection,Critical,Open,Suspicious login attempt detected.,jdoe,2025-10-31 07:25:48
81,2025-11-24,Ransomware,High,False Positive,Unusual outbound traffic pattern.,asmith,2025-11-24 16:16:53
82,2025-02-03,Malware Infection,High,Mitigated,Unusual outbound traffic pattern.,asmith,2025-02-03 17:05:39
83,2025-11-24,Man-in-the-Middle,Medium,Open,Database latency exceeded threshold.,asmith,2025-11-24 04:28:56
84,2025-04-03,Unauthorized Access,High,Open,Antivirus signature match found.,admin,2025-04-03 03:31:30
85,2025-05-14,Ransomware,High,Open,Database latency exceeded threshold.,klee,2025-05-14 15:42:33
86,2025-09-16,Man-in-the-Middle,High,Closed,Unusual outbound traffic pattern.,klee,2025-09-16 02:24:32
87,2024-12-23,Unauthorized Access,Critical,Resolved,Suspicious login attempt detected.,security_team,2024-12-23 03:45:52
88,2025-12-02,Unauthorized Access,Critical,False Positive,Antivirus signature match found.,asmith,2025-12-02 11:38:36
89,2024-12-17,Phishing Attempt,Medium,False Positive,Unusual outbound traffic pattern.,system_monitor,2024-12-17 17:15:00
90,2025-08-29,Man-in-the-Middle,Critical,Mitigated,Unusual outbound traffic pattern.,klee,2025-08-29 22:32:03
91,2024-12-28,SQL Injection,Critical,Open,Database latency exceeded threshold.,klee,2024-12-28 19:02:49
92,2025-06-20,Man-in-the-Middle,Medium,Investigating,Database latency exceeded threshold.,klee,2025-06-20 16:57:22
93,2025-06-16,DDoS Attack,Low,Closed,Firewall blocked multiple port scans.,asmith,2025-06-16 18:29:29
94,2025-03-02,SQL Injection,High,Investigating,Unusual outbound traffic pattern.,system_monitor,2025-03-02 15:16:23
95,2025-05-22,SQL Injection,High,Closed,Database latency exceeded threshold.,system_monitor,2025-05-22 02:36:05
96,2025-11-18,Phishing Attempt,Medium,Resolved,User reported strange email attachment.,system_monitor,2025-11-18 13:55:52
97,2025-08-23,Insider Threat,Low,Investigating,Suspicious login attempt detected.,system_monitor,2025-08-23 02:27:27
98,2025-10-13,Man-in-the-Middle,High,False Positive,User reported strange email attachment.,jdoe,2025-10-13 22:45:20
99,2025-07-27,Phishing Attempt,Critical,Open,Antivirus signature match found.,security_team,2025-07-27 07:58:35
100,2025-10-21,DDoS Attack,High,Closed,Database latency exceeded threshold.,jdoe,2025-10-21 03:29:55
101,2025-12-08,Unauthorized Access,Medium,False Positive,Antivirus signature match found.,security_team,2025-12-08 03:18:57
102,2025-11-03,Man-in-the-Middle,High,Open,Database latency exceeded threshold.,security_team,2025-11-03 19:44:34
103,2025-05-31,Ransomware,Medium,Resolved,Database latency exceeded threshold.,security_team,2025-05-31 05:23:41
104,2025-01-14,Malware Infection,Medium,Mitigated,Suspicious login attempt detected.,klee,2025-01-14 14:35:12
105,2025-02-20,DDoS Attack,Critical,Investigating,Database latency exceeded threshold.,klee,2025-02-20 06:03:21
106,2025-02-28,Ransomware,High,Resolved,Antivirus signature match found.,admin,2025-02-28 22:17:41
107,2025-01-06,Unauthorized Access,Critical,Closed,Database latency exceeded threshold.,security_team,2025-01-06 18:31:43
108,2025-06-14,Phishing Attempt,Critical,Investigating,Unusual outbound traffic pattern.,asmith,2025-06-14 09:07:13
109,2025-02-14,DDoS Attack,Critical,Resolved,Antivirus signature match found.,jdoe,2025-02-14 14:48:46
110,2025-11-05,Man-in-the-Middle,Critical,False Positive,Firewall blocked multiple port scans.,klee,2025-11-05 00:43:38
111,2025-04-15,DDoS Attack,Critical,Investigating,Firewall blocked multiple port scans.,admin,2025-04-15 20:04:26
112,2025-11-19,Unauthorized Access,Medium,Resolved,Suspicious login attempt detected.,security_team,2025-11-19 19:39:06
113,2025-05-04,Unauthorized Access,Critical,Investigating,Firewall blocked multiple port scans.,security_team,2025-05-04 20:50:59
114,2025-07-06,SQL Injection,Medium,Resolved,Suspicious login attempt detected.,security_team,2025-07-06 16:58:23
115,2025-08-13,Man-in-the-Middle,Critical,Investigating,Antivirus signature match found.,klee,2025-08-13 20:52:43
116,2025-11-29,Malware Infection,Low,Mitigated,Unusual outbound traffic pattern.,admin,2025-11-29 17:53:14
117,2024-12-14,Unauthorized Access,High,Open,Suspicious login attempt detected.,jdoe,2024-12-14 16:31:08
118,2025-03-15,Insider Threat,Medium,Mitigated,Database latency exceeded threshold.,security_team,2025-03-15 10:28:13
119,2025-11-29,Insider Threat,Low,Resolved,Database latency exceeded threshold.,asmith,2025-11-29 12:32:31
120,2025-10-12,DDoS Attack,Low,Mitigated,Unusual outbound traffic pattern.,system_monitor,2025-10-12 07:54:49
121,2025-11-01,Phishing Attempt,Medium,Mitigated,Unusual outbound traffic pattern.,system_monitor,2025-11-01 08:37:06
122,2025-02-08,Data Breach,Medium,Resolved,Suspicious login attempt detected.,jdoe,2025-02-08 10:53:55
123,2025-08-07,Man-in-the-Middle,High,Mitigated,Firewall blocked multiple port scans.,admin,2025-08-07 19:06:37
124,2025-11-01,Ransomware,Medium,Open,Unusual outbound traffic pattern.,klee,2025-11-01 16:16:09
125,2025-07-24,Unauthorized Access,High,Mitigated,Unusual outbound traffic pattern.,jdoe,2025-07-24 14:31:22
126,2025-10-14,SQL Injection,Critical,Closed,Suspicious login attempt detected.,security_team,2025-10-14 17:35:29
127,2025-05-07,Data Breach,Medium,Mitigated,Antivirus signature match found.,klee,2025-05-07 04:01:36
128,2025-01-11,Ransomware,High,Resolved,User reported strange email attachment.,security_team,2025-01-11 15:46:48
129,2025-08-31,Man-in-the-Middle,Medium,Open,User reported strange email attachment.,klee,2025-08-31 01:41:21
130,2025-04-10,Ransomware,High,Resolved,User reported strange email attachment.,admin,2025-04-10 16:15:17
131,2025-05-13,Unauthorized Access,Medium,Resolved,Antivirus signature match found.,admin,2025-05-13 20:12:25
132,2025-09-20,SQL Injection,Critical,Open,Suspicious login attempt detected.,klee,2025-09-20 11:51:40
133,2025-02-06,Data Breach,Medium,Mitigated,Antivirus signature match found.,system_monitor,2025-02-06 10:21:30
134,2025-01-16,Man-in-the-Middle,Low,Mitigated,User reported strange email attachment.,admin,2025-01-16 23:55:41
135,2025-03-07,Data Breach,Low,Resolved,Firewall blocked multiple port scans.,admin,2025-03-07 02:10:43
136,2024-12-23,Malware Infection,Medium,Closed,Unusual outbound traffic pattern.,asmith,2024-12-23 17:30:58
137,2025-03-26,DDoS Attack,Medium,Resolved,Unusual outbound traffic pattern.,klee,2025-03-26 23:17:51
138,2025-03-14,Data Breach,Medium,Investigating,Database latency exceeded threshold.,klee,2025-03-14 22:47:54
139,2025-04-12,Unauthorized Access,Critical,Open,Antivirus signature match found.,system_monitor,2025-04-12 17:10:26
140,2025-06-08,Man-in-the-Middle,Critical,Closed,Firewall blocked multiple port scans.,klee,2025-06-08 09:27:09
141,2025-09-06,Phishing Attempt,Critical,Investigating,Antivirus signature match found.,security_team,2025-09-06 03:11:11
142,2025-02-03,Man-in-the-Middle,Critical,Mitigated,User reported strange email attachment.,admin,2025-02-03 16:13:02
143,2025-06-24,SQL Injection,Low,Resolved,Suspicious login attempt detected.,system_monitor,2025-06-24 02:16:12
144,2025-11-29,SQL Injection,Medium,Investigating,Antivirus signature match found.,system_monitor,2025-11-29 09:57:52
145,2025-04-18,Malware Infection,Low,Resolved,Firewall blocked multiple port scans.,asmith,2025-04-18 05:28:38
146,2025-07-26,Phishing Attempt,Critical,False Positive,Unusual outbound traffic pattern.,admin,2025-07-26 01:28:48
147,2025-05-01,Malware Infection,Low,Closed,User reported strange email attachment.,asmith,2025-05-01 21:02:42
148,2025-01-22,Insider Threat,High,Investigating,Antivirus signature match found.,security_team,2025-01-22 02:38:44
149,2025-09-07,Man-in-the-Middle,Critical,Open,User reported strange email attachment.,system_monitor,2025-09-07 21:55:01
150,2025-05-02,Ransomware,Low,False Positive,Unusual outbound traffic pattern.,jdoe,2025-05-02 13:03:40
151,2025-05-30,Phishing Attempt,Low,Investigating,Suspicious login attempt detected.,security_team,2025-05-30 01:52:41
152,2025-03-11,Phishing Attempt,Critical,False Positive,Firewall blocked multiple port scans.,admin,2025-03-11 07:42:42
153,2025-02-01,Ransomware,Low,Mitigated,Firewall blocked multiple port scans.,security_team,2025-02-01 08:05:56
154,2025-04-13,Phishing Attempt,Low,Closed,User reported strange email attachment.,asmith,2025-04-13 15:20:13
155,2025-05-13,Phishing Attempt,High,Mitigated,User reported strange email attachment.,jdoe,2025-05-13 15:24:48
156,2025-02-21,Malware Infection,Medium,Closed,Database latency exceeded threshold.,klee,2025-02-21 05:18:46
157,2025-02-22,Data Breach,Medium,Open,Suspicious login attempt detected.,jdoe,2025-02-22 12:01:20
158,2025-06-09,Man-in-the-Middle,High,False Positive,Antivirus signature match found.,admin,2025-06-09 16:44:38
159,2025-03-27,Ransomware,Critical,Resolved,Firewall blocked multiple port scans.,asmith,2025-03-27 21:53:19
160,2025-11-27,Unauthorized Access,High,Mitigated,Firewall blocked multiple port scans.,klee,2025-11-27 04:31:17
161,2025-10-30,Phishing Attempt,Critical,Mitigated,Database latency exceeded threshold.,asmith,2025-10-30 05:03:50
162,2025-10-16,DDoS Attack,Critical,Closed,Firewall blocked multiple port scans.,asmith,2025-10-16 23:27:01
163,2024-12-21,SQL Injection,Medium,Mitigated,User reported strange email attachment.,klee,2024-12-21 05:50:35
164,2025-01-13,Phishing Attempt,Critical,Closed,Unusual outbound traffic pattern.,klee,2025-01-13 17:08:07
165,2025-03-31,Man-in-the-Middle,Medium,False Positive,Firewall blocked multiple port scans.,jdoe,2025-03-31 14:44:03
166,2025-09-30,Unauthorized Access,Medium,Open,Antivirus signature match found.,security_team,2025-09-30 18:42:21
167,2025-08-18,Unauthorized Access,Critical,False Positive,User reported strange email attachment.,system_monitor,2025-08-18 21:24:23
168,2024-12-26,Data Breach,Medium,Resolved,Firewall blocked multiple port scans.,klee,2024-12-26 05:17:58
169,2025-03-19,Data Breach,High,Mitigated,Database latency exceeded threshold.,system_monitor,2025-03-19 12:11:45
170,2025-05-22,Malware Infection,Medium,Closed,User reported strange email attachment.,system_monitor,2025-05-22 12:43:33
171,2025-10-20,SQL Injection,Medium,Resolved,Database latency exceeded threshold.,system_monitor,2025-10-20 04:27:23
172,2025-03-21,DDoS Attack,Critical,Resolved,Suspicious login attempt detected.,jdoe,2025-03-21 23:35:57
173,2025-01-14,Malware Infection,High,False Positive,Suspicious login attempt detected.,jdoe,2025-01-14 04:10:04
174,2025-11-05,Unauthorized Access,Critical,Investigating,Suspicious login attempt detected.,admin,2025-11-05 15:32:42
175,2025-05-25,Phishing Attempt,Medium,False Positive,Antivirus signature match found.,system_monitor,2025-05-25 08:22:04
176,2025-07-27,Ransomware,Medium,Closed,Database latency exceeded threshold.,asmith,2025-07-27 09:07:47
177,2025-05-14,Malware Infection,Medium,Closed,User reported strange email attachment.,klee,2025-05-14 08:56:54
178,2025-09-16,Man-in-the-Middle,Low,Closed,Antivirus signature match found.,klee,2025-09-16 08:24:40
179,2025-11-30,Data Breach,High,Open,Suspicious login attempt detected.,admin,2025-11-30 04:23:35
180,2025-06-06,DDoS Attack,Critical,Resolved,Antivirus signature match found.,security_team,2025-06-06 10:05:47
181,2025-08-16,Unauthorized Access,Low,Investigating,Unusual outbound traffic pattern.,klee,2025-08-16 22:56:45
182,2025-08-08,SQL Injection,High,Investigating,Antivirus signature match found.,admin,2025-08-08 22:59:39
183,2025-04-21,Phishing Attempt,Critical,Investigating,Antivirus signature match found.,security_team,2025-04-22 00:50:02
184,2024-12-31,Phishing Attempt,Low,Mitigated,Firewall blocked multiple port scans.,asmith,2024-12-31 01:36:50
185,2025-11-01,SQL Injection,Critical,Resolved,Firewall blocked multiple port scans.,security_team,2025-11-01 02:33:42
186,2025-06-16,Phishing Attempt,Low,Closed,User reported strange email attachment.,system_monitor,2025-06-16 12:53:45
187,2025-08-04,Phishing Attempt,Medium,Mitigated,Database latency exceeded threshold.,asmith,2025-08-04 22:59:55
188,2025-11-18,Malware Infection,High,Investigating,Suspicious login attempt detected.,security_team,2025-11-18 03:52:32
189,2025-01-04,Malware Infection,Critical,Mitigated,User reported strange email attachment.,klee,2025-01-04 10:48:55
190,2025-01-06,Man-in-the-Middle,Critical,Closed,Database latency exceeded threshold.,security_team,2025-01-06 20:12:21
191,2025-04-08,Man-in-the-Middle,Low,Closed,Suspicious login attempt detected.,asmith,2025-04-08 14:55:41
192,2025-09-11,DDoS Attack,Medium,Investigating,User reported strange email attachment.,klee,2025-09-11 23:34:10
193,2025-07-10,Data Breach,Low,Mitigated,Suspicious login attempt detected.,klee,2025-07-10 17:37:18
194,2025-07-20,Ransomware,Low,Mitigated,Antivirus signature match found.,klee,2025-07-20 21:47:57
195,2025-04-08,DDoS Attack,High,Investigating,Firewall blocked multiple port scans.,jdoe,2025-04-08 07:11:20
196,2025-01-23,SQL Injection,Critical,Resolved,Database latency exceeded threshold.,system_monitor,2025-01-23 02:28:14
197,2025-04-08,DDoS Attack,High,Mitigated,Antivirus signature match found.,klee,2025-04-08 09:01:19
198,2025-10-05,Insider Threat,Critical,False Positive,Antivirus signature match found.,security_team,2025-10-05 15:47:52
199,2025-06-09,DDoS Attack,Medium,Open,Suspicious login attempt detected.,klee,2025-06-09 12:25:07
200,2025-08-04,SQL Injection,Critical,False Positive,Antivirus signature match found.,system_monitor,2025-08-04 13:24:55
201,2025-09-20,DDoS Attack,High,Investigating,User reported strange email attachment.,system_monitor,2025-09-20 02:12:02
202,2025-02-23,Ransomware,Critical,Open,User reported strange email attachment.,jdoe,2025-02-23 01:31:50
203,2024-12-13,Malware Infection,Medium,Closed,User reported strange email attachment.,asmith,2024-12-13 23:32:29
204,2025-08-01,Man-in-the-Middle,High,Open,Suspicious login attempt detected.,system_monitor,2025-08-01 12:42:33
205,2025-01-10,Ransomware,Medium,Investigating,Firewall blocked multiple port scans.,asmith,2025-01-10 20:19:12
206,2025-02-23,Ransomware,Medium,Closed,Database latency exceeded threshold.,system_monitor,2025-02-23 02:35:09
207,2025-03-29,DDoS Attack,Medium,Investigating,User reported strange email attachment.,admin,2025-03-29 12:53:30
208,2025-01-18,Malware Infection,Medium,Investigating,Firewall blocked multiple port scans.,system_monitor,2025-01-18 06:55:40
209,2025-08-23,Man-in-the-Middle,Low,Open,Database latency exceeded threshold.,admin,2025-08-23 08:08:10
210,2025-01-11,Data Breach,Low,False Positive,Unusual outbound traffic pattern.,klee,2025-01-11 04:12:06
211,2025-11-20,SQL Injection,High,Open,Database latency exceeded threshold.,klee,2025-11-20 18:27:52
212,2025-04-08,Data Breach,Medium,Investigating,Database latency exceeded threshold.,asmith,2025-04-08 14:40:48
213,2025-04-23,Man-in-the-Middle,Medium,Open,Suspicious login attempt detected.,admin,2025-04-23 10:08:34
214,2025-10-04,Man-in-the-Middle,High,Resolved,Unusual outbound traffic pattern.,asmith,2025-10-04 15:21:22
215,2025-02-19,Insider Threat,Low,Resolved,User reported strange email attachment.,security_team,2025-02-19 16:49:43
216,2025-07-30,Man-in-the-Middle,High,False Positive,Database latency exceeded threshold.,klee,2025-07-31 00:32:40
217,2024-12-20,Phishing Attempt,Medium,Open,User reported strange email attachment.,system_monitor,2024-12-20 05:42:25
218,2025-12-10,Ransomware,High,Investigating,User reported strange email attachment.,security_team,2025-12-10 10:45:21
219,2025-02-15,Insider Threat,Medium,False Positive,Suspicious login attempt detected.,admin,2025-02-15 22:43:04
220,2024-12-18,DDoS Attack,High,Mitigated,User reported strange email attachment.,system_monitor,2024-12-18 03:26:59
221,2025-03-09,Phishing Attempt,Medium,Resolved,Antivirus signature match found.,security_team,2025-03-09 03:38:19
222,2025-07-06,Data Breach,High,Mitigated,User reported strange email attachment.,asmith,2025-07-06 07:48:44
223,2025-10-06,Data Breach,High,Open,Unusual outbound traffic pattern.,asmith,2025-10-06 15:13:50
224,2025-08-23,Unauthorized Access,Critical,Resolved,Suspicious login attempt detected.,admin,2025-08-23 12:44:57
225,2025-09-26,SQL Injection,High,False Positive,Antivirus signature match found.,jdoe,2025-09-26 16:33:34
226,2025-09-06,Insider Threat,Medium,False Positive,Firewall blocked multiple port scans.,jdoe,2025-09-07 00:24:26
227,2025-01-18,Insider Threat,Medium,Investigating,Unusual outbound traffic pattern.,admin,2025-01-18 17:59:59
228,2025-01-18,Insider Threat,Medium,False Positive,Unusual outbound traffic pattern.,system_monitor,2025-01-18 16:45:37
229,2025-04-09,Insider Threat,Medium,Resolved,Database latency exceeded threshold.,asmith,2025-04-09 21:40:27
230,2025-03-04,Malware Infection,Critical,Open,Unusual outbound traffic pattern.,system_monitor,2025-03-04 08:22:00
231,2025-10-25,SQL Injection,Medium,Resolved,Firewall blocked multiple port scans.,klee,2025-10-25 19:17:47
232,2025-03-12,SQL Injection,High,Closed,Database latency exceeded threshold.,jdoe,2025-03-12 19:29:11
233,2025-05-19,Unauthorized Access,High,Mitigated,Antivirus signature match found.,system_monitor,2025-05-19 04:07:13
234,2025-03-21,Unauthorized Access,High,Mitigated,Unusual outbound traffic pattern.,klee,2025-03-21 18:30:08
235,2025-06-26,DDoS Attack,Medium,Open,Antivirus signature match found.,klee,2025-06-26 12:40:11
236,2025-02-13,DDoS Attack,Low,False Positive,User reported strange email attachment.,security_team,2025-02-13 06:34:44
237,2025-03-30,Insider Threat,High,Open,User reported strange email attachment.,security_team,2025-03-30 01:13:00
238,2025-11-03,Ransomware,High,Mitigated,Suspicious login attempt detected.,asmith,2025-11-03 17:59:09
239,2025-07-03,DDoS Attack,Medium,Mitigated,Suspicious login attempt detected.,admin,2025-07-03 10:08:58
240,2025-05-11,Data Breach,Critical,Investigating,Firewall blocked multiple port scans.,jdoe,2025-05-11 15:56:58
241,2025-01-27,Ransomware,Critical,Investigating,Unusual outbound traffic pattern.,security_team,2025-01-27 21:54:55
242,2025-10-08,Phishing Attempt,Critical,Closed,Firewall blocked multiple port scans.,jdoe,2025-10-08 18:13:32
243,2024-12-31,Unauthorized Access,Medium,Mitigated,Suspicious login attempt detected.,system_monitor,2024-12-31 15:22:49
244,2025-02-27,Malware Infection,Critical,Open,Database latency exceeded threshold.,admin,2025-02-27 08:16:30
245,2025-03-24,Data Breach,Medium,False Positive,Antivirus signature match found.,asmith,2025-03-24 06:40:20
246,2025-07-17,Malware Infection,Medium,Mitigated,Antivirus signature match found.,security_team,2025-07-17 11:15:33
247,2025-09-18,Insider Threat,Low,Closed,User reported strange email attachment.,security_team,2025-09-18 09:10:26
248,2025-03-10,Insider Threat,Medium,False Positive,Unusual outbound traffic pattern.,security_team,2025-03-10 16:05:06
249,2025-10-01,Ransomware,High,Open,User reported strange email attachment.,klee,2025-10-01 09:05:20
250,2025-11-13,Ransomware,Medium,Investigating,Unusual outbound traffic pattern.,klee,2025-11-13 16:20:39
251,2025-05-30,Ransomware,Critical,Closed,Suspicious login attempt detected.,admin,2025-05-30 14:05:40
252,2025-09-18,Data Breach,High,Mitigated,Unusual outbound traffic pattern.,system_monitor,2025-09-18 10:06:40
253,2025-03-24,SQL Injection,High,Closed,Suspicious login attempt detected.,asmith,2025-03-24 11:53:47
